id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
334 0 1 0 0 0 0 0 1 0 0 0 -15.236572006437063 0
335 0 1 0 0 0 0 0 0 0 1 0 -1.302160631781637 0
336 0 1 0 0 0 0 0 0 0 1 0 -1.6912435576293672 0
337 0 0 0 0 1 0 1 0 0 0 0 1.966216847450493 0
338 0 0 0 0 0 1 0 0 0 0 1 3.123459619443338 0
339 0 1 0 0 0 0 0 1 0 0 0 -19.500312917381596 0
340 0 0 0 0 0 1 0 0 0 0 1 1.3970009180076959 0
341 0 1 0 0 0 0 0 0 0 1 0 -1.6912435576293672 0
342 0 1 0 0 0 0 0 0 0 1 0 -1.1374273917178235 0
343 0 1 0 0 0 0 0 1 0 0 0 -17.518557371497696 0
344 0 0 0 0 1 0 1 0 0 0 0 2.140539466972342 0
345 0 1 0 0 0 0 0 0 0 1 0 -0.5503519274144819 0
